geoid,households,rental_vacancy_rate,percent_recent_construction,percent_prewar_construction,avg_renter_household_size,percent_3_plus_vehicles,percent_solar_heat,percent_mortgage_free,percent_no_high_school,percent_veterans,percent_recent_move_from_other_state,percent_foreign_born_recent_arrival,percent_adults_with_disability
01001,20396,5.7,0.2,2.9,2.74,26,0,35.9,3.8,13.5,3.8,13.9,15.8
01003,74104,32.1,0.2,2.4,2.59,21.7,0,40,3.2,13,3,16.9,10.9
01005,9222,8.7,0.1,7.6,2.65,25.3,0,54.1,9.2,9.6,1.8,1.2,20.2
01007,7027,3.3,0,6.8,3.27,30.9,0,50.6,6.9,6.7,1.2,28.3,13.9
01009,20816,8.2,0,4.9,2.54,32.9,0,46.1,7,9.9,1.2,10,15.3
01011,3683,1.3,0,11.9,2.96,14.5,0,66.8,11.9,5.1,1.4,47.1,16.3
01013,8056,4.7,0.1,9.4,2.52,22.4,0,58.4,7.6,9.3,0.7,4.9,18.5
01015,45154,4,0,6.4,2.56,26.2,0,46.7,5.8,12,2.7,13,18.6
01017,13787,10.7,0,12.4,2.54,22.2,0,48,6.2,9.2,2.1,33,16.8
01019,11278,8.3,0.1,4.6,2.28,29.6,0,54.6,7.7,11.3,1.5,3.8,21.1
01021,16237,9.1,0.1,5.8,2.84,29.5,0,49.2,8.1,9.9,1.3,7.8,15.8
01023,5575,0,0,3.9,2.12,25.4,0,64.7,8.1,8.3,1.7,9.5,22.9
01025,9622,2,0,5.3,2.2,22.2,0,61.6,4.7,7.2,0.9,0.8,12.7
01027,5419,6.1,0,10.4,2.43,30.7,0,54.2,10.6,10.7,1.6,0,15.1
01029,5776,4.6,0.3,8.3,2.65,33.7,0.2,56,6.5,6.8,1.9,0,18.4
01031,19160,11.4,0,3.5,2.61,25.1,0,45.5,5.5,17.7,4.9,9.7,15.2
01033,22204,8.7,0.2,7.5,2.43,25.9,0,46.5,4.5,9.5,1.2,11.9,18
01035,5168,1.5,0.3,11.7,2.53,21.6,0,74.8,7.4,9.7,0.4,22.9,23.5
01037,4450,10.4,0,6.2,2.52,26,0,54.7,9,9.4,0.3,38.6,18.6
01039,14949,10.1,0.1,9.5,2.6,23.9,0,53.7,7.5,10.9,1.6,2.2,18.6
01041,5383,5.2,0.2,10,2.57,26.9,0.1,56.6,9.3,8.6,2.2,4.6,17.5
01043,31287,6.2,0,5.4,2.45,27,0,43.8,6.4,9.1,1.3,7.3,13.2
01045,19018,9.1,0.3,4.6,2.72,21.2,0,43.9,4.9,18.3,7.1,10.9,17.9
01047,16413,5.1,0.1,8.3,2.69,17.9,0,50.9,6.2,8.1,1.2,7.5,19.8
01049,25013,16.5,0,4.8,2.88,31.5,0,50.4,12.1,7.7,1.4,8.8,14.1
01051,28651,6.4,0.1,4.6,2.55,26.8,0,34,3.8,12,1.4,5.8,16.2
01053,13659,4.6,0.5,4.4,2.32,20.5,0,61.2,6.7,9.1,1.2,11.6,18.4
01055,39899,6.3,0,11.5,2.53,24.7,0,47.5,6.3,9.7,1.3,4,19.4
01057,7037,1.4,0.2,7.5,2.26,25.4,0,60.6,8.3,9.3,0.6,0,24
01059,11980,6.1,0,3.9,2.82,26.7,0,52.3,11.1,5.9,2.2,13,16.2
01061,10754,5.4,0,6.4,2.62,25.4,0,56.2,8.4,10.7,1.7,0,18.7
01063,3201,7.3,0,5,2.49,19.2,0,69.8,7.8,7,1.4,0,26.7
01065,5927,2.2,0,6.6,2.2,24.1,0,54.5,6.3,7.2,0.4,0,19.6
01067,6894,8.2,0,8.1,2.5,28,0,46.1,7.1,9.3,1.4,19.6,19.4
01069,39197,8.9,0.1,3.2,2.66,18.3,0,40.8,4.9,11.5,2.5,5.3,16.2
01071,20431,16,0,4,2.41,26.9,0,54.5,8.1,8.3,1.1,13.5,15.2
01073,260929,8.2,0.1,9.6,2.37,19.9,0,35.2,3.2,8.3,2,13.3,13.5
01075,6138,1.8,0,5.8,2.24,22.9,0,64,8.8,9.3,1.5,9.4,19.1
01077,38612,8.2,0.1,5.2,2.15,27.9,0,45,5,8.9,2.1,10.3,13.4
01079,13537,1.3,0.5,4.6,2.51,33,0,53.3,7.5,7.4,0.7,0,19.7
01081,57171,5.2,0.3,2.7,2.44,23,0,36,3.7,8.6,5.1,24.4,10.3
01083,32213,7.8,0.3,4.5,2.6,27.9,0,38.3,6.4,9.8,1.7,6,12.4
01085,4282,4.9,0,4.7,2.57,23.4,0,56.1,7.1,5.9,0.8,0,19.9
01087,8009,11.5,0.1,8.3,2.21,18.9,0,56.3,6.2,8.8,3.7,20.7,15.9
01089,137767,8.4,0.2,2.7,2.29,23.3,0,31.3,2.7,12.4,3.2,12,10.5
01091,8281,2.8,0.3,7,2.22,18.6,0,53.6,5.5,6.2,1,34.4,22.4
01093,12714,6.6,0,6.5,2.09,27.4,0,58,6.9,8.7,1.4,3.3,23.1
01095,34261,5.5,0,4.1,2.79,24.6,0,44.8,9.7,9.3,1.5,6.5,15.5
01097,154188,12.2,0.1,4.6,2.54,20.5,0,38.2,4.2,9.8,1.8,14,13.7
01099,8406,2.8,0,4.4,2.48,19.4,0,56.2,6.5,7,1,0,12.9
01101,89532,6.9,0,6.8,2.45,19.1,0,31.8,4.9,10.9,3,21.2,15
01103,46235,4.7,0,4.3,2.49,26.2,0,41.9,6.1,9.7,1.4,9.9,14
01105,3450,2.7,0,13.4,2.94,22.3,0,64.5,7.3,7.9,2.2,16.7,26.4
01107,7644,4.5,0,7,2.45,26.9,0,55.8,6.6,8.9,2.1,31.2,22.8
01109,12786,10.2,0,6.5,2.27,21.8,0,48.8,4.9,7.9,2.1,33.1,11.6
01111,8915,4.3,0.2,9.9,2.38,26.5,0,54.5,10.5,9.7,1.7,0.2,13.7
01113,22241,11.8,0.1,7,2.57,24.2,0,36.8,6.5,14,6.8,8.9,17.1
01115,31979,5.3,0.1,2.9,2.66,27.3,0,41.1,5.2,9.9,0.9,10.1,16.1
01117,75534,7.7,0.1,1.7,2.46,26.5,0,27.9,2.9,8.6,2.5,11.3,9.2
01119,4815,6,0,4.8,2.47,16,0,60.7,8.4,6,0.5,87.8,19.2
01121,31424,5.9,0,6.3,2.45,25.1,0,49.6,7.3,9.3,1.7,22.1,18.3
01123,16323,4.7,0.2,7.3,2.65,25,0,48.2,5.5,10.2,1.1,10.4,15.6
01125,69128,6.8,0.2,3.2,2.63,20.4,0,34.6,3.5,6.7,3.6,24.1,10
01127,25602,1,0.1,5.8,2.57,26.4,0,57.7,7,9.5,1.5,9.7,24.1
01129,6133,0,0,5.9,3.02,29.8,0,60.4,5.9,6.7,0.4,4.9,22.3
01131,3843,0.9,0,6.6,2.36,18.3,0,67.4,7,6.3,0.1,,17.3
01133,9406,3.8,0,4.3,2.5,28.3,0,59.2,9.8,8.2,1,1,24.9
02013,690,6.4,0,2.1,2.14,9.1,0,63.7,10.4,3.8,10.2,12.3,6.2
02016,1138,6.9,0.1,2.9,3.57,12.6,0,44.1,7.6,6.5,7,19.4,6.6
02020,105175,4.7,0,0.4,2.6,20.7,0,26.9,3,13.5,4.8,10.3,9.3
02050,4488,4.7,0,0.3,3.34,4,0,63.6,9.9,6.4,1.2,4.9,8.9
02060,377,17.8,0,5.5,2.38,19.4,0,54.4,4.2,8.5,4.9,10.5,10.9
02068,681,6.3,1.2,0.6,2.39,38.8,0,54.4,0.9,11,8.1,77,7.6
02070,1349,7.3,0,1,3,9.2,0,64.3,7.8,5.5,2.1,1.2,12.1
02090,35582,8,0.1,1.1,2.51,23.2,0,31.1,1.6,16.4,8.9,13.2,9.9
02100,1176,5.9,0,4.9,2.11,26.4,0,44.6,1,10.9,4.2,1.1,12.3
02105,892,11.7,0.8,8.8,2.25,10.4,0.4,65.8,2.9,11.4,1.6,11.4,13.5
02110,12114,4.4,0,6.5,2.38,18.4,0,28.9,1.6,10.2,4.4,10.5,8.7
02122,21485,9.1,0.2,1,2.58,24.4,0,41.4,1.9,13.4,3.7,25,12.3
02130,5267,8.5,0,10.8,2.33,16.4,0,34.4,2,12.4,4.7,10.8,11.3
02150,4577,2,0,1.2,2.86,18.4,0,36.1,6.2,9.5,5.2,8.2,12
02158,1683,2.5,0,0.3,3.66,0.7,0,71.7,8.8,6.2,0.4,15.9,11.1
02164,491,14.6,0.3,2.1,2.81,7.3,0,77.3,5.9,5.8,0.7,64.2,11.9
02170,31098,5.6,0,0.6,2.88,32.8,0,30.5,1.9,14.8,3.3,8,11
02180,2925,4,0.1,4.1,3,3.8,0,57.4,6,9,2.2,5.9,11.2
02185,1962,9.2,0.4,2.5,3.07,5,0,64.2,3,10,3.6,9.3,9
02188,1903,4.1,0,0.8,3.53,1.8,0.1,64,7.5,6.2,2.4,24.7,9.2
02195,1284,6,0,14.8,1.98,14.7,0,46.1,1.7,10.4,3.6,22.4,12.7
02198,2268,11,0.1,3,2.79,14.8,0,66.3,2.3,11.2,4.8,8.9,15.3
02220,3472,6.1,0,4.4,2.25,12.3,0,44.4,2.5,10.4,5.2,21.7,9.1
02230,406,8.2,0,16.5,1.88,18.5,0,34.5,0.6,9.4,7.5,3.1,4.1
02240,2117,21.2,0,1.4,3.27,27.7,0,66.6,2.1,17.2,3.8,6.1,13.6
02261,3010,16.2,0,4.7,2.87,16.4,0,54.1,2.5,11.7,5.7,19.2,9.4
02275,1127,8.1,0,12.9,1.91,17.7,0,56.5,3.4,14.2,3.1,27.7,13.8
02282,250,9.1,0.5,2.3,2.16,14.4,0,50.7,0.9,12,6.4,15,5.5
02290,1982,11.5,0.1,1.9,2.74,7.3,0.1,84.2,8,11.4,1.9,19,14.8
04001,19272,8.7,0.1,1.6,3.82,19.3,0.2,73.9,12,6.9,1.5,14.5,13.7
04003,48825,15.9,0,7.9,2.5,24.1,0.4,42.9,6.3,19.3,5.7,8.9,14.4
04005,46619,6.2,0.1,2.7,2.63,23,0.4,43.8,4.5,7.6,4.8,14.5,9.7
04007,20909,5.6,0.2,6.5,2.68,20.7,0.3,54.9,4.6,13.8,1.8,4.7,18.9
04009,10959,6.6,0,5.7,3.19,25.8,0.3,43.9,5.8,8.9,3.4,13.4,11.3
04011,3219,9.5,0,13.3,3.04,33.7,0,64.6,5.2,11.2,2.9,14.8,11.1
04012,9365,9.4,0.3,0.6,2.24,14,0.2,75,9.7,15.2,2.2,13.4,16.9
04013,1442518,8.7,0.1,1,2.76,16.4,0.2,28.8,6.3,8.8,3.4,9,8.5
04015,80832,9.5,0.1,0.7,2.7,20.5,0.3,46.8,4.6,15.4,7,4.5,17.6
04017,34129,5.8,0,3.3,3.28,19.7,0.1,61.3,7.5,9.1,2.1,12.7,16.8
04019,389658,8.5,0.1,2.4,2.42,16.2,0.2,35.9,5.1,11.4,3.4,9.4,12.1
04021,127599,8.1,0.1,1,3.28,15.5,0.3,38.1,5.8,12,4.4,16.9,12.3
04023,15359,8.8,0,6,3.03,25.1,0.1,32.7,14.4,6.3,1.4,5.8,8.4
04025,92310,5.5,0.2,2.9,2.42,21.2,0.4,42.5,3.3,15.3,4.3,6.1,16
04027,70639,8.6,0.1,1.9,2.79,18.7,0.1,42.2,14.6,10,4,10.1,8.3
05001,7743,11.7,0.1,7.3,2.43,16.7,0,50.9,6.6,8.7,1.5,22.2,20.2
05003,8327,15.6,0.1,3.7,2.59,21.4,0,58.6,5.4,8.2,1.4,0.2,20.9
05005,18164,8.6,0.1,3.5,2.29,18.3,0,48.9,4.3,15.5,2.5,13.3,19.9
05007,85670,3.9,0.3,3.1,2.72,23.3,0,31,6.1,9.1,3.3,15.5,7.6
05009,14961,3.6,0.1,9.6,2.53,19,0,45.6,5.3,11.7,3.6,5.2,16.4
05011,4598,10.4,0.1,7.1,2.46,20.4,0.1,56.9,7,8.1,0.7,1.8,22.1
05013,2125,9.5,0,8,2.69,30.6,0,67.9,5.2,9.4,0.8,0,24.3
05015,10977,10.8,0.5,13.3,2.82,22,0.4,50.7,8.1,12.1,2.9,13.2,15.4
05017,4513,11.6,0.1,5.9,2.64,14.3,0,64.7,7.7,8.5,3,23.2,19.9
05019,8681,7.9,0,7.4,2.09,20.5,0,55.3,4.5,9.4,3.1,17.5,15.6
05021,6611,9.5,0,7.5,2.31,18.2,0,58.5,10,9.8,2.2,0,20.4
05023,10157,6,0.2,3.3,2.61,22.1,0.3,51.4,6,14.1,3.1,11.2,15
05025,3334,1,0,5.9,2.72,29.2,0,62.6,5.5,10.4,1,0,17.2
05027,9597,5.6,0,8.4,2.24,23.1,0,54.8,4.9,7.9,2.2,24.4,14.7
05029,8362,9.6,0.3,7.4,2.37,20.7,0,49.6,4.7,9.1,2.2,6.5,18.2
05031,38724,7.1,0.7,3.3,2.49,18,0,36.3,4.1,7.6,2.3,27.6,13.4
05033,23649,10.1,0.2,3.9,2.58,21.5,0,40.3,6.2,11.1,2.6,11.5,16.6
05035,18348,12.5,0,3.8,2.64,18,0,34.6,6.8,9.2,3.2,5.3,15.8
05037,6918,12.1,0,5.5,2.34,21.1,0,47.6,6.3,9,0.6,0,20
05039,3248,6.9,0,10.2,2.21,19.3,0,60.2,5.6,9,3,30,22.5
05041,5272,6,0,7,2.22,14.6,0,63.2,7.6,7.8,1.1,2.1,18.5
05043,7314,7.5,0.2,4.3,2.38,19.1,0,54.7,5.8,6.5,1.4,4.5,19.5
05045,43204,11.9,0.2,2.6,2.44,23.7,0,31.9,2.8,9,2.5,14,10.2
05047,6784,5.5,0,6.6,2.69,22.4,0,49.4,6.4,11.6,1.5,1.4,18.3
05049,5300,10.1,0.5,7.3,2.38,27.9,0,47.3,4.8,12.3,4.6,0,18.1
05051,40290,11.3,0,7.6,2.3,17.4,0,45.4,4,12.5,3.5,5.9,16.9
05053,6859,3.3,0.3,2.7,2.46,29,0,50.4,3.5,10.2,1.4,1.5,15.4
05055,16682,1.7,0,6.4,2.5,20.7,0,45.5,5.2,10.6,1.8,7.8,19.6
05057,7823,15.5,0,9.6,2.71,19.9,0,57.2,8.5,8.7,1.9,2,18.6
05059,12136,4.4,0.1,4.2,2.48,26.3,0,51.9,4.9,10.6,1,3,22.2
05061,5049,7.8,0,7,2.67,26.8,0,56.7,9.4,7.9,1.3,11.8,16.7
05063,14238,6.4,0.1,5.1,2.43,22.4,0,44.9,6.3,8.6,2.2,10.5,18.1
05065,5549,12,0,7.2,2.34,25,0,54.3,6.9,14,1.7,17.7,20.7
05067,6339,8.8,0.1,5.9,2.25,17.3,0,53.9,9.4,8.5,0.8,2.3,21.2
05069,28119,9.7,0,6.6,2.43,18.1,0,46.1,4.9,9.3,1.5,14.5,17.3
05071,10111,3.8,0,8.5,2.47,19.8,0,50.9,7.2,9.2,1.3,7.9,15.8
05073,2830,14,0,9.9,2.34,18.7,0,59.5,6.2,8,2.3,50,23.3
05075,6696,4.6,0,6.3,2.43,23.2,0,56.7,7.8,9.9,1,15.6,17.6
05077,3605,3.3,0,7.3,2.21,14.6,0,67.8,10.1,4.1,1.2,0,23.6
05079,4040,3.6,0,3.9,2.33,22,0,61.5,6.9,7.3,1.2,3.9,18.7
05081,5251,16.4,0,4.4,2.32,27.8,0,61.8,3.4,12.7,2.5,0,19.1
05083,8609,7.7,0,9.1,2.33,28.1,0,53,5.2,10.7,1.3,36.8,18.2
05085,25909,6.4,0.1,2.1,2.56,22.7,0,32,3.6,14.7,2.7,11.9,13.4
05087,6338,4.9,0.1,7.1,2.68,30.7,0,56.1,9.4,8.5,1.4,3.9,15.1
05089,6701,11.8,0.3,5.4,2.55,23.5,0.2,47.9,3.3,16.2,4.6,19.3,21.9
05091,16960,8.8,0,6.3,2.44,17.9,0,52.5,5.1,10.2,5.9,7.4,16.3
05093,17141,9.6,0.1,4.5,2.57,16.4,0,45,7.8,8.1,3.2,23.9,20.8
05095,3364,4.9,0,7.7,2.32,11.7,0,61.1,8,10.1,1.7,0,21.9
05097,3892,5.3,0,8.1,2.61,24.6,0,60.6,8.2,14.4,3.3,16.2,28.4
05099,3472,6,0.3,9.1,2.9,22.4,0,59,5.9,10.4,1.1,0,19.9
05101,3310,5.4,0,11,2.11,31.5,0,63.2,5.4,12.7,0.9,4.8,19.9
05103,10552,6.6,0,6.1,2.43,20.8,0,58.9,3.9,9.5,1,7.9,19.3
05105,3847,11.5,0,4,2.43,33.3,0,56.6,5.7,10.6,0.8,14,19.9
05107,8135,4.8,0,6.3,2.66,14.1,0,57.9,9.8,7.5,1.9,13.4,23.7
05109,4355,6.5,0,6.4,2.36,26.6,0,53.4,6.8,10.8,0.9,11.4,23
05111,9286,8.5,0,5.9,2.7,18.1,0,57.7,9.5,8.1,1.2,41,21.3
05113,7911,6.2,0,6.1,2.24,24.2,0.1,54.1,5.3,13.3,2.4,10.5,25.1
05115,22645,10.9,0.3,4.1,2.5,22.4,0,42.3,6.4,8.9,1.5,13.1,15.1
05117,3826,4.7,0,9.5,2.1,24.2,0,61.2,5.6,10.9,0.7,0,18.3
05119,154240,15.8,0.1,4.9,2.36,16.2,0,33.9,3.3,10.3,2.3,15.9,12
05121,7335,3.6,0,5.5,2.33,22.5,0,50.2,7.9,10.5,4.3,0,19.9
05123,9430,5,0.1,2.8,2.5,15.1,0.1,50.5,7.1,8.5,3.6,24.1,20
05125,42299,5.5,0.2,1.8,2.59,23.5,0,36.3,3.2,11.1,1.4,10.2,15.5
05127,4055,7,0,5.7,2.67,27.5,0,51.1,10,10.8,1.7,0,15.4
05129,3172,7.4,0,9.7,2.43,26.7,0,64.2,6.1,9.4,1.7,43.9,21.1
05131,49579,9.8,0.1,5.4,2.38,17.5,0,38.9,7.6,9.3,3,5.8,17.2
05133,6075,4.2,0.2,5.2,2.49,23.8,0,51.6,14.4,8.6,1.8,2.7,11.6
05135,7108,16.1,0,3.3,2.49,20.9,0,49.5,5.4,13.7,1.1,0,20
05137,5142,0,0.4,2.9,2.07,24.6,0,58.4,8.5,14.2,4.5,0,23.1
05139,16536,8.8,0.3,4.7,2.44,21.4,0,55.4,4.9,8.1,2.2,0.9,18.6
05141,6879,7.5,0,5.2,2.47,18.8,0,59.2,6.4,12.1,1.6,2.3,20.6
05143,81722,6.3,0.2,3.7,2.41,20.4,0,33.1,8.1,6.9,4.1,11.2,8.7
05145,29404,10.4,0.3,3.9,2.53,22.7,0,44.3,5.7,9.2,2.2,17.7,14.6
05147,2911,11.5,0,6.6,2.34,13.2,0,61.9,9.2,10.7,0.7,0,23.9
05149,7687,4.6,0.5,6.2,2.97,25.3,0,50.5,11.7,8.2,1.3,3.8,20.5
06001,558907,3.2,0,20.1,2.63,20.6,0.2,24.8,7.2,4.7,1.5,9.6,7.3
06003,358,33.3,0,4.7,3.34,22.6,0,46.5,1.3,17.4,9.9,31.6,20.4
06005,13925,11.3,0,9.7,2.46,27.8,0.3,39.9,3.8,13.8,0.7,3.8,13.5
